node_id,node_attr
45,"INCLUDES",44
45,"INCLUDES",75
45,"HAS",76
45,"ENHANCES",15
45,"DRIVES",77
6,"DEVELOPED_WITH",51
78,"ENABLES",79
80,"UTILIZES",54
80,"UTILIZES",55
78,"CONTRIBUTES_TO",81
20,"INFORMS",82
20,"AIDS",83
20,"AIDS",84
20,"FACILITATES",85
45,"COVERS",86
87,"ALIGN_WITH",88
89,"CONTRIBUTES_TO",90
91,"INCORPORATES",92
46,"IMPROVES",93
19,"WORKS_WITH",11
11,"CONTRIBUTES_TO",94
11,"IMPROVES",95
11,"INCREASES",93
11,"PROVIDES",96
97,"ALIGNS_WITH",88
1,"EXPANDS_TO",47
1,"EXPANDS_TO",48
1,"EXPANDS_TO",49
1,"USES_MODEL",98
1,"CONTRIBUTES_TO",99
100,"PROMOTES",101
1,"PROVIDES",102
1,"PROMOTES",103
1,"CONTRIBUTS_TO",77
1,"FACILITATES_ACCESS_TO",104
1,"INFLUENCES",105
1,"POSICIONA",106
1,"COMPETES_WITH",107
108,"PART_OF",109
110,"GROWTH",1
111,"DRIVES",1
1,"HAS_TEAM",111
111,"WORKS_ON",69
69,"INVOLVES",112
112,"REQUIRES",2
112,"REQUIRES",113
112,"REQUIRES",114
112,"REQUIRES",115
112,"REQUIRES",116
117,"FOUNDED_BY",1
117,"INCLUDES",111
111,"POSSESSES",67
118,"LEADS",69
119,"LEADS",69
120,"CONTRIBUTES",69
121,"CONTRIBUTES",69
122,"CONTRIBUTES",69
118,"COLLABORATES_WITH",119
118,"COLLABORATES_WITH",120
119,"COLLABORATES_WITH",121
121,"COLLABORATES_WITH",122
118,"MANAGES",69
119,"SUPPORTS",69
120,"SUPPORTS",69
121,"SUPPORTS",69
122,"SUPPORTS",69
123,"RELATES_TO",124
124,"RELATES_TO",125
125,"RELATES_TO",126
123,"RELATES_TO",125
127,"PROVIDES",1
128,"CONTRIBUTES_TO",133
130,"SPECIALIZED_IN",2
132,"REQUIRES",131
133,"AFFECTS",134
135,"INCLUDES",136
77,"DRIVES",137
138,"UTILIZED_IN",102
139,"INTEGRATED_IN",140
140,"ADAPTS_TO",141
142,"PRODUCES",144
143,"CONTRIBUTES_TO",144
144,"INCREASES",145
146,"IMPROVES",145
147,"SIMPLIFIES",146
149,"ENHANCES",148
150,"ENSURES",149
151,"INCREASES",149
152,"AFFECTS",151
153,"ENABLED_BY",154
1,"UTILIZES",154
155,"BASED_ON",156
158,"ENSURES",155
159,"FACILITATES",155
160,"DRIVEN_BY",158
108,"DRIVES",160
47,"DRIVES",160
48,"DRIVES",160
49,"DRIVES",160
161,"INFLUENCES",160
162,"ENHANCES",163
163,"CONTRIBUTES_TO",164
165,"CONTRIBUTES_TO",164
166,"BOOSTS",164
167,"ATTRACTS",164
168,"FOSTERS",164
169,"CONTRIBUTES_TO",164
170,"SUPPORTS",164
171,"DRIVES",164
172,"PROTECTS",173
174,"INNOVATES",173
175,"INNOVATES",173
176,"STRENGTHENS",177
177,"INCREASES",173
178,"SECURES",173
179,"ENSURES",173
180,"DRIVES",181
181,"ENHANCES",182
183,"PROFESSOR",184
185,"PROFESSOR",184
186,"PROFESSOR",184
186,"PROFESSOR",183
1,"PRODUCES",187
187,"USES",188
187,"EXPANDS_TO",189
187,"ALIGN_WITH",190
187,"DRIVES",15
187,"INCLUDES_TECHNOLOGY",192
187,"INCLUDES_TECHNOLOGY",21
187,"ENABLED_BY",193
187,"COMPLIES_WITH",194
187,"INTEGRATES_WITH",195
187,"EXPANDS_TO",47
187,"EXPANDS_TO",48
187,"EXPANDS_TO",49
187,"USES",196
187,"PLANS",198
187,"IS_A",44
187,"ENHANCES",26
187,"DRIVES",199
187,"EXPANDS",200
187,"SERVES",19
187,"SERVES",11
201,"DETAILS_OF",202
202,"INVESTS_IN",203
201,"DETAILS_OF",204
206,"PROFESSOR",205
205,"INCLUDES",207
205,"INCLUDES",208
209,"INCLUDES",210
209,"INCLUDES",211
209,"INCLUDES",212
213,"INCLUDES",214
213,"INCLUDES",215
216,"INVOLVES",217
216,"INVOLVES",218
216,"INVOLVES",219
